SEASON,PLAYER_NAME,POS,AGE,EXP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF
2019,Antonio Blakeney,SG,22.0,2.0,14.5,2.9,6.9,0.6,1.6,0.9,1.3,0.1,1.7,0.7,0.2,0.2,0.6,0.7
2019,Anzejs Pasecniks,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Armoni Brooks,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aron Baynes,C,32.0,7.0,16.1,2.1,4.4,0.4,1.2,1.0,1.2,1.7,3.0,1.1,0.2,0.7,0.8,2.5
2019,Ashton Hagans,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Austin Rivers,SG,26.0,7.0,26.3,3.0,7.3999999999999995,1.3333333333333333,4.233333333333333,0.7000000000000001,1.3,0.3,1.8333333333333333,2.1666666666666665,0.6,0.3,0.9333333333333332,2.6999999999999997
2019,Avery Bradley,SG,28.0,9.0,30.566666666666666,4.466666666666667,10.566666666666666,1.5333333333333332,4.2,0.9,1.0333333333333334,0.6666666666666666,2.2333333333333334,2.8000000000000003,0.7666666666666666,0.19999999999999998,1.5333333333333332,2.6
2019,Axel Toupane,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,BJ Johnson,SF,23.0,1.0,6.733333333333333,1.2,2.4333333333333336,0.3,1.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6333333333333333,0.0,0.19999999999999998,0.0,0.19999999999999998,0.7000000000000001
2019,Bam Adebayo,C,21.0,2.0,23.3,3.4,5.9,0.0,0.2,2.0,2.8,2.0,5.3,2.2,0.9,0.8,1.5,2.5
2019,Ben McLemore,SG,25.0,6.0,8.3,1.3,3.4,0.9,2.2,0.4,0.6,0.2,0.7,0.2,0.3,0.2,0.3,1.2
2019,Ben Simmons,PG,22.0,2.0,34.2,6.8,12.2,0.0,0.1,3.3,5.4,2.2,6.6,7.7,1.4,0.8,3.5,2.6
2019,Billy Garrett,SG,24.0,1.0,15.8,2.8,6.8,0.0,2.0,1.0,1.0,0.0,0.8,1.8,0.3,0.3,0.5,0.8
2019,Bismack Biyombo,C,26.0,8.0,14.5,1.6,2.9,0.0,0.0,1.1,1.7,1.5,3.1,0.6,0.2,0.8,0.6,1.9
2019,Blake Griffin,PF,29.0,9.0,35.0,8.3,17.9,2.5,7.0,5.5,7.3,1.3,6.2,5.4,0.7,0.4,3.4,2.7
2019,Boban Marjanovic,C,30.0,4.0,12.0,2.8666666666666667,4.633333333333334,0.10000000000000002,0.23333333333333336,1.6333333333333335,2.1666666666666665,1.5,3.1666666666666665,1.0,0.26666666666666666,0.5,1.0,1.5666666666666667
2019,Bobby Portis,PF,23.0,4.0,25.833333333333332,5.566666666666666,12.566666666666668,1.4666666666666668,3.7999999999999994,1.5666666666666667,1.9666666666666666,2.1999999999999997,5.833333333333333,1.4000000000000001,0.7000000000000001,0.4000000000000001,1.4666666666666668,2.9
2019,Bogdan Bogdanovic,SG,26.0,2.0,27.8,5.2,12.3,1.9,5.3,1.9,2.3,0.6,2.9,3.8,1.0,0.2,1.7,2.0
2019,Bojan Bogdanovic,SF,29.0,5.0,31.8,6.4,13.0,2.0,4.8,3.0,3.8,0.4,3.7,2.0,0.9,0.0,1.7,1.7
2019,Bol Bol,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bonzie Colson,SF,23.0,1.0,12.3,1.6,4.9,0.6,2.6,1.0,1.1,1.0,2.8,0.4,0.6,0.1,0.4,0.4
2019,Brad Wanamaker,PG,29.0,1.0,9.5,1.4,2.9,0.4,1.1,0.7,0.8,0.1,1.1,1.6,0.3,0.1,0.5,0.9
2019,Bradley Beal,SG,25.0,7.0,36.9,9.3,19.6,2.5,7.3,4.4,5.5,1.1,3.9,5.5,1.5,0.7,2.7,2.8
2019,Brandon Clarke,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Brandon Goodwin,PG,23.0,1.0,3.6,0.4,1.4,0.1,0.4,0.6,0.7,0.1,0.1,0.9,0.0,0.0,0.2,0.4
2019,Brandon Ingram,SF,21.0,3.0,33.8,7.0,14.0,0.6,1.8,3.8,5.6,0.8,4.3,3.0,0.5,0.6,2.5,2.9
2019,Brandon Knight,PG,27.0,7.0,17.2,2.233333333333333,6.166666666666667,0.9333333333333335,3.1999999999999997,0.7333333333333334,0.9,0.2333333333333333,1.1666666666666667,1.6333333333333335,0.4666666666666666,0.06666666666666667,0.7000000000000001,1.5333333333333332
2019,Brandon Sampson,SG,21.0,1.0,15.3,2.0,4.3,0.8,2.1,0.3,0.4,0.2,0.9,0.7,0.6,0.2,0.9,1.4
2019,Brian Bowen II,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Brodric Thomas,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Brook Lopez,C,30.0,11.0,28.7,4.4,9.7,2.3,6.3,1.4,1.6,0.4,4.5,1.2,0.6,2.2,1.0,2.3
2019,Bruce Brown,SG,22.0,1.0,19.6,1.7,4.2,0.3,1.3,0.6,0.8,0.6,1.9,1.2,0.5,0.5,0.6,2.4
2019,Bruno Caboclo,PF,23.0,5.0,23.5,2.8,6.6,1.4,3.8,1.2,1.5,1.2,3.4,1.5,0.4,1.0,1.1,2.4
2019,Bruno Fernando,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bryn Forbes,SG,25.0,3.0,28.0,4.4,9.6,2.1,5.0,0.8,1.0,0.2,2.7,2.1,0.5,0.0,1.0,1.9
2019,Buddy Hield,SG,26.0,3.0,31.9,7.6,16.6,3.4,7.9,2.1,2.4,1.3,3.7,2.5,0.7,0.4,1.8,2.5
2019,C.J. Williams,SG,28.0,2.0,8.5,1.1,2.3,0.3,1.1,0.0,0.1,0.1,0.5,0.8,0.4,0.0,0.3,1.1
2019,CJ Elleby,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,CJ McCollum,SG,27.0,6.0,33.9,8.2,17.8,2.4,6.4,2.3,2.7,0.9,3.1,3.0,0.8,0.4,1.5,2.5
2019,CJ Miles,SF,31.0,14.0,17.633333333333333,2.3666666666666667,6.3999999999999995,1.4000000000000001,4.1,0.9333333333333332,1.1,0.19999999999999998,1.6333333333333335,0.7999999999999999,0.5333333333333333,0.3333333333333333,0.6,1.4666666666666668
2019,Caleb Martin,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Caleb Swanigan,PF,21.0,2.0,9.200000000000001,1.0,2.6333333333333333,0.03333333333333333,0.4333333333333333,0.19999999999999998,0.5,0.9333333333333332,2.3666666666666667,0.7333333333333334,0.39999999999999997,0.09999999999999999,0.8333333333333334,1.5
2019,Cam Reddish,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cameron Johnson,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cameron Oliver,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cameron Payne,PG,24.0,4.0,18.233333333333334,2.533333333333333,5.7,0.7000000000000001,2.2666666666666666,0.9,1.2,0.3,1.5666666666666667,2.6666666666666665,0.7333333333333334,0.2333333333333333,1.1333333333333335,1.6333333333333335
2019,Cameron Reynolds,SG,23.0,1.0,13.6,1.7,4.1,1.1,2.7,0.4,0.5,0.2,1.4,0.7,0.3,0.1,0.3,1.4
2019,Caris LeVert,SF,24.0,3.0,26.6,5.2,12.1,1.2,3.9,2.1,3.1,0.9,2.9,3.9,1.1,0.4,1.7,1.9
2019,Carmelo Anthony,PF,34.0,16.0,29.4,4.9,12.1,2.1,6.4,1.5,2.2,0.9,4.5,0.5,0.4,0.7,0.8,3.2
2019,Carsen Edwards,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cassius Stanley,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cassius Winston,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cedi Osman,SF,23.0,2.0,32.2,4.7,11.1,1.7,4.9,1.9,2.4,0.6,4.1,2.6,0.8,0.1,1.5,2.6
2019,Chandler Hutchison,SF,22.0,1.0,20.3,2.2,4.8,0.3,1.1,0.5,0.9,0.7,3.5,0.8,0.5,0.1,0.6,1.3
2019,Chandler Parsons,SF,30.0,8.0,19.8,2.7,7.3,1.2,3.8,0.9,1.0,0.2,2.6,1.7,0.8,0.2,1.3,1.8
2019,Channing Frye,C,35.0,13.0,9.5,1.2,3.3,0.9,2.2,0.3,0.4,0.1,1.3,0.6,0.2,0.1,0.4,1.2
2019,Charlie Brown Jr.,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Chasson Randle,PG,25.0,2.0,15.2,1.9,4.4,0.9,2.3,0.9,1.3,0.2,0.9,2.0,0.5,0.1,0.9,1.9
2019,Cheick Diallo,PF,22.0,3.0,14.0,2.6,4.2,0.0,0.1,0.8,1.0,1.2,4.0,0.5,0.5,0.5,0.8,1.8
2019,Chimezie Metu,PF,21.0,1.0,5.0,0.7,2.0,0.0,0.1,0.4,0.6,0.3,0.9,0.4,0.2,0.1,0.5,0.5
2019,Chris Boucher,PF,26.0,2.0,5.8,1.2,2.7,0.4,1.3,0.5,0.5,0.6,1.4,0.1,0.2,0.9,0.3,1.1
2019,Chris Chiozza,PG,23.0,1.0,4.7,0.3,1.1,0.3,0.7,0.0,0.0,0.1,0.4,0.6,0.1,0.1,0.1,0.3
2019,Chris Clemons,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Chris Paul,PG,33.0,14.0,32.0,5.2,12.4,2.2,6.1,3.0,3.5,0.6,3.9,8.2,2.0,0.3,2.6,2.5
2019,Chris Silva,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Christian Wood,PF,23.0,3.0,13.466666666666669,3.2999999999999994,6.333333333333333,0.46666666666666673,1.4000000000000001,2.2333333333333334,3.0,0.9,3.533333333333333,0.46666666666666673,0.39999999999999997,0.6,0.9333333333333332,0.9333333333333332
2019,Chuma Okeke,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Clint Capela,C,24.0,5.0,33.6,7.1,10.9,0.0,0.0,2.5,3.9,4.4,8.2,1.4,0.7,1.5,1.4,2.5
2019,Coby White,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cody Martin,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Cody Zeller,C,26.0,6.0,25.4,3.9,7.0,0.1,0.4,2.3,2.9,2.2,4.6,2.1,0.8,0.8,1.3,3.3
2019,Cole Anthony,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Collin Sexton,PG,20.0,1.0,31.8,6.3,14.7,1.5,3.6,2.6,3.1,0.7,2.2,3.0,0.5,0.1,2.3,2.3
